"IBM Posto","Nome Posto","Data","Hora","Tipo","Bomba","Bico","Produto","Volume (L)","Valor a Receber","Desconto Posto","Desconto Shell","Creditos no Shellbox","Shell Box Clube","Valor Pago Cliente","Cod. Status Transacao","Status Transacao","ID Frentista","ID Transacao","ID do Produto","Payout Status","Pagamento ID 1","Parceiro","Codigo do Voucher","Nome da Campanha","Data de inicio da Transação","Categoria"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","04:44:35","Abastecimento","6","14","Etanol Comum","37.05","R$ 155,24","R$ 3,70","R$ 0,00","R$ 0,00","R$ 0,00","R$ 151,54","4","Pagamento Recusado","B32809092ED8D233","190047654","21","","99835969792","Mercado Pago","-","-","2025-01-20 07:43:50.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","03:36:45","Abastecimento","4","8","Etanol Comum","23.87","R$ 100,00","R$ 2,39","R$ 0,00","R$ 0,00","R$ 0,00","R$ 97,61","3","Sucesso","B32809092ED8D233","190047206","21","","7441005x190047206x1737354956264","-","-","-","2025-01-20 06:35:44.000 UTC","Pix"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-20","01:28:06","Abastecimento","2","3","Etanol Comum","31.14","R$ 130,48","R$ 3,11","R$ 0,00","R$ 0,00","R$ 0,00","R$ 127,37","3","Sucesso","B3CF6CA31378AC02","190046662","21","","-","-","-","-","2025-01-20 04:27:50.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","22:59:32","Abastecimento","2","4","Gasolina Comum","4.0","R$ 24,76","R$ 0,40","R$ 0,00","R$ 0,00","R$ 0,00","R$ 24,36","3","Sucesso","B32809099EBC19C9","190044524","11","","99828294534","Mercado Pago","-","-","2025-01-20 01:59:08.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","22:49:05","Abastecimento","6","15","Gasolina Comum","19.39","R$ 120,00","R$ 1,94","R$ 0,00","R$ 0,00","R$ 0,00","R$ 118,06","3","Sucesso","B32809092ED8D233","190044216","11","","99461058931","Mercado Pago","-","-","2025-01-20 01:48:48.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","22:46:31","Abastecimento","4","8","Etanol Comum","31.79","R$ 133,20","R$ 3,18","R$ 9,54","R$ 0,00","R$ 0,00","R$ 120,48","3","Sucesso","B3CF6CA31378AC02","190044123","21","","99461298209","Mercado Pago","7da0c256-8dc0-45ce-8d41-62641e07f36a","AP-DIG-AQU-2291","2025-01-20 01:46:12.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","22:41:56","Abastecimento","2","3","Etanol Comum","20.0","R$ 83,80","R$ 2,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 81,80","3","Sucesso","B3CF6CA31378AC02","190043991","21","","-","-","-","-","2025-01-20 01:41:38.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","22:21:25","Abastecimento","3","6","Gasolina Comum","3.11","R$ 19,25","R$ 0,31","R$ 0,00","R$ 0,00","R$ 0,00","R$ 18,94","3","Sucesso","B3CF6CA31378AC02","190043168","11","","-","-","-","-","2025-01-20 01:21:07.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","22:21:23","Abastecimento","1","2","Gasolina Comum","19.39","R$ 120,00","R$ 1,94","R$ 0,00","R$ 0,00","R$ 0,00","R$ 118,06","3","Sucesso","B32809099EBC19C9","190043163","11","","-","-","-","-","2025-01-20 01:21:02.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","21:49:18","Abastecimento","4","8","Etanol Comum","46.03","R$ 192,87","R$ 4,60","R$ 0,00","R$ 0,00","R$ 0,00","R$ 188,27","3","Sucesso","B3CF6CA313787E3E","190041693","21","","-","-","-","-","2025-01-20 00:49:01.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","21:48:23","Abastecimento","2","3","Etanol Comum","11.93","R$ 50,00","R$ 1,19","R$ 0,00","R$ 0,00","R$ 0,00","R$ 48,81","3","Sucesso","B32809099EBC19C9","190041633","21","","-","-","-","-","2025-01-20 00:48:08.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","21:38:02","Abastecimento","4","8","Etanol Comum","23.87","R$ 100,00","R$ 2,39","R$ 0,00","R$ 0,00","R$ 0,00","R$ 97,61","3","Sucesso","B32809EED07ED77A","190040942","21","","6567229x190040942x1737333433889","-","-","-","2025-01-20 00:36:46.000 UTC","Pix"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","21:21:42","Abastecimento","1","2","Gasolina Comum","32.31","R$ 200,00","R$ 3,23","R$ 0,00","R$ 0,00","R$ 0,00","R$ 196,77","3","Sucesso","B32809EED07ED77A","190039870","11","","-","-","-","-","2025-01-20 00:21:00.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","21:21:40","Abastecimento","6","15","Gasolina Comum","34.14","R$ 211,33","R$ 3,41","R$ 0,00","R$ 0,00","R$ 0,00","R$ 207,92","3","Sucesso","B32809EED07ED77A","190039886","11","","-","-","-","-","2025-01-20 00:21:12.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","21:19:35","Abastecimento","4","8","Etanol Comum","35.87","R$ 150,30","R$ 3,59","R$ 0,00","R$ 0,00","R$ 0,00","R$ 146,71","3","Sucesso","B32809EED07ED77A","190039738","21","","99455380647","Mercado Pago","-","-","2025-01-20 00:19:13.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","21:11:08","Abastecimento","2","3","Etanol Comum","9.55","R$ 40,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 40,00","3","Sucesso","B32809EED07ED77A","190039106","21","-","99454990707","Mercado Pago","-","-","2025-01-20 00:11:08.000 UTC","App Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","21:11:03","Abastecimento","5","11","Etanol Comum","21.48","R$ 90,00","R$ 2,15","R$ 0,00","R$ 0,00","R$ 0,00","R$ 87,85","3","Sucesso","B32809099EBC19C9","190039071","21","","-","-","-","-","2025-01-20 00:10:47.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","20:56:43","Abastecimento","4","8","Etanol Comum","11.93","R$ 50,00","R$ 1,19","R$ 0,00","R$ 0,00","R$ 0,00","R$ 48,81","3","Sucesso","B3CF6CA313787E3E","190037952","21","","-","-","-","-","2025-01-19 23:56:15.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","20:46:26","Abastecimento","3","5","Etanol Comum","31.73","R$ 132,95","R$ 3,17","R$ 0,00","R$ 0,00","R$ 0,00","R$ 129,78","3","Sucesso","B32809EED07ED77A","190037133","21","","-","-","-","-","2025-01-19 23:46:05.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","20:39:10","Abastecimento","2","3","Etanol Comum","41.78","R$ 175,06","R$ 4,18","R$ 0,00","R$ 0,00","R$ 0,00","R$ 170,88","3","Sucesso","B32809099EBC19C9","190036488","21","","-","-","-","-","2025-01-19 23:38:43.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","20:32:27","Abastecimento","5","12","Gasolina Comum","12.92","R$ 80,00","R$ 1,29","R$ 0,00","R$ 0,00","R$ 0,00","R$ 78,71","3","Sucesso","B3CF6CA313787E3E","190035836","11","","17558581x190035836x1737329496353","-","-","-","2025-01-19 23:31:20.000 UTC","Pix"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","20:32:07","Abastecimento","3","5","Etanol Comum","23.87","R$ 100,00","R$ 2,39","R$ 0,00","R$ 0,00","R$ 0,00","R$ 97,61","3","Sucesso","B32809099EBC19C9","190035890","21","","-","-","-","-","2025-01-19 23:31:50.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","20:25:20","Abastecimento","5","12","Gasolina Comum","4.04","R$ 25,00","R$ 0,40","R$ 0,00","R$ 0,00","R$ 0,00","R$ 24,60","3","Sucesso","B32809EED07ED77A","190035194","11","","-","-","-","-","2025-01-19 23:24:49.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","20:22:23","Abastecimento","7","17","Shell Evolux Diesel S-10","24.23","R$ 150,00","R$ 2,42","R$ 3,63","R$ 0,00","R$ 0,00","R$ 143,95","3","Sucesso","B3CF6CA313787E3E","190034918","34","","99817616170","Mercado Pago","1954ec1b-bfc1-479c-9788-d7f80e845778","AP-CRM-RET-2361","2025-01-19 23:21:55.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","20:07:46","Abastecimento","6","15","Gasolina Comum","42.03","R$ 260,17","R$ 4,20","R$ 0,00","R$ 0,00","R$ 0,00","R$ 255,97","3","Sucesso","B32809099EBC19C9","190033590","11","","-","-","-","-","2025-01-19 23:07:30.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","19:30:54","Abastecimento","3","6","Gasolina Comum","24.23","R$ 150,00","R$ 2,42","R$ 0,00","R$ 0,00","R$ 0,00","R$ 147,58","3","Sucesso","B3CF6CA313787E3E","190029810","11","","-","-","-","-","2025-01-19 22:30:36.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","19:13:53","Abastecimento","4","8","Etanol Comum","11.93","R$ 50,00","R$ 1,19","R$ 0,00","R$ 0,00","R$ 0,00","R$ 48,81","3","Sucesso","B32809099EBC19C9","190027982","21","","-","-","-","-","2025-01-19 22:13:38.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","18:52:59","Abastecimento","2","4","Gasolina Comum","3.23","R$ 20,00","R$ 0,32","R$ 0,00","R$ 0,00","R$ 0,00","R$ 19,68","3","Sucesso","B32809099EBC19C9","190025761","11","","-","-","-","-","2025-01-19 21:52:24.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","18:45:15","Abastecimento","5","12","Gasolina Comum","8.08","R$ 50,00","R$ 0,81","R$ 0,00","R$ 0,00","R$ 0,00","R$ 49,19","3","Sucesso","B32809099EBC19C9","190024846","11","","-","-","-","-","2025-01-19 21:44:29.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","18:41:16","Abastecimento","2","3","Etanol Comum","35.8","R$ 150,00","R$ 3,58","R$ 0,00","R$ 0,00","R$ 0,00","R$ 146,42","3","Sucesso","B3CF6CA313787E3E","190024433","21","","-","-","-","-","2025-01-19 21:40:58.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","18:34:46","Abastecimento","6","14","Etanol Comum","25.0","R$ 104,75","R$ 2,50","R$ 0,00","R$ 0,00","R$ 0,00","R$ 102,25","3","Sucesso","B32809EED07ED77A","190023759","21","","-","-","-","-","2025-01-19 21:34:30.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","18:27:57","Abastecimento","6","15","Gasolina Comum","16.16","R$ 100,00","R$ 1,62","R$ 0,00","R$ 0,00","R$ 0,00","R$ 98,38","3","Sucesso","B32809099EBC19C9","190023002","11","","-","-","-","-","2025-01-19 21:27:37.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","18:23:02","Abastecimento","3","5","Etanol Comum","45.46","R$ 190,48","R$ 4,55","R$ 0,00","R$ 0,00","R$ 0,00","R$ 185,93","3","Sucesso","B32809099EBC19C9","190022442","21","","99443088199","Mercado Pago","-","-","2025-01-19 21:22:50.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","18:20:33","Abastecimento","2","4","Gasolina Comum","25.66","R$ 158,84","R$ 2,57","R$ 0,00","R$ 0,00","R$ 0,00","R$ 156,27","3","Sucesso","B3CF6CA313787E3E","190022103","11","","-","-","-","-","2025-01-19 21:20:00.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","18:15:29","Abastecimento","2","3","Etanol Comum","45.02","R$ 188,63","R$ 4,50","R$ 0,00","R$ 0,00","R$ 0,00","R$ 184,13","3","Sucesso","B32809099EBC19C9","190021525","21","","-","-","-","-","2025-01-19 21:15:08.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","18:14:49","Abastecimento","1","2","Gasolina Comum","6.46","R$ 40,00","R$ 0,65","R$ 4,31","R$ 0,00","R$ 0,00","R$ 35,04","3","Sucesso","B3CF6CA313787E3E","190021433","11","","-","-","05d4e4a9-d273-11ef-8a38-02b447a431dd","R$ 4.31 DE DESCONTO","2025-01-19 21:14:22.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","18:09:31","Abastecimento","2","3","Etanol Comum","19.09","R$ 80,00","R$ 1,91","R$ 0,00","R$ 0,00","R$ 0,00","R$ 78,09","3","Sucesso","B32809EED07ED77A","190020864","21","","-","-","-","-","2025-01-19 21:09:15.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","17:54:19","Abastecimento","3","6","Gasolina Comum","3.24","R$ 20,06","R$ 0,32","R$ 0,00","R$ 0,00","R$ 0,00","R$ 19,74","3","Sucesso","B32809099EBCAB00","190019159","11","","-","-","-","-","2025-01-19 20:53:54.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","17:39:09","Abastecimento","5","12","Gasolina Comum","8.08","R$ 50,00","R$ 0,81","R$ 0,00","R$ 0,00","R$ 0,00","R$ 49,19","3","Sucesso","B32809099EBC19C9","190017477","11","","99806525580","Mercado Pago","-","-","2025-01-19 20:38:38.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","17:29:10","Abastecimento","5","12","Gasolina Comum","40.39","R$ 250,00","R$ 4,04","R$ 0,00","R$ 0,00","R$ 0,00","R$ 245,96","3","Sucesso","B3CF6CA313787E3E","190016383","11","","-","-","-","-","2025-01-19 20:28:56.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","17:23:21","Abastecimento","6","15","Gasolina Comum","8.08","R$ 50,00","R$ 0,81","R$ 0,00","R$ 0,00","R$ 0,00","R$ 49,19","3","Sucesso","B32809EED07ED77A","190015738","11","","-","-","-","-","2025-01-19 20:23:04.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","17:18:23","Abastecimento","5","11","Etanol Comum","7.16","R$ 30,00","R$ 0,72","R$ 0,00","R$ 0,00","R$ 0,00","R$ 29,28","3","Sucesso","B32809EED07EF3DA","190015176","21","","-","-","-","-","2025-01-19 20:18:12.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","17:15:03","Abastecimento","6","15","Gasolina Comum","16.16","R$ 100,00","R$ 1,62","R$ 0,00","R$ 0,00","R$ 0,00","R$ 98,38","3","Sucesso","B32809EED07EF3DA","190014829","11","","99439022315","Mercado Pago","-","-","2025-01-19 20:14:48.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","17:01:27","Abastecimento","2","3","Etanol Comum","45.96","R$ 192,57","R$ 4,60","R$ 0,00","R$ 0,00","R$ 0,00","R$ 187,97","3","Sucesso","B32809EED07ED77A","190013048","21","","99804456394","Mercado Pago","-","-","2025-01-19 19:58:17.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","16:52:39","Abastecimento","4","9","Gasolina Comum","8.08","R$ 50,00","R$ 0,81","R$ 0,00","R$ 0,00","R$ 0,00","R$ 49,19","3","Sucesso","B3CF6CA313787E3E","190012370","11","","-","-","-","-","2025-01-19 19:51:46.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","10:02:19","Abastecimento","4","9","Gasolina Comum","30.57","R$ 189,23","R$ 3,06","R$ 0,00","R$ 0,00","R$ 0,00","R$ 186,17","3","Sucesso","B32809EED033236E","189966056","11","","-","-","-","-","2025-01-19 13:01:43.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","09:51:28","Abastecimento","4","9","Gasolina Comum","26.85","R$ 166,20","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 166,20","3","Sucesso","B32809EED033236E","189964897","11","-","45363217","-","-","-","2025-01-19 12:51:28.000 UTC","App Porto Seguro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","09:47:51","Abastecimento","2","4","Gasolina Comum","19.39","R$ 120,00","R$ 1,94","R$ 0,00","R$ 0,00","R$ 0,00","R$ 118,06","3","Sucesso","B32809D538851035","189964489","11","","-","-","-","-","2025-01-19 12:47:35.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","09:40:34","Abastecimento","1","7","Shell V-Power Gasolina","13.66","R$ 90,02","R$ 1,37","R$ 0,00","R$ 0,00","R$ 0,00","R$ 88,65","3","Sucesso","B32809D538851035","189963572","12","","-","-","-","-","2025-01-19 12:39:07.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","09:27:11","Abastecimento","2","4","Gasolina Comum","3.23","R$ 20,00","R$ 0,32","R$ 0,00","R$ 0,00","R$ 0,00","R$ 19,68","3","Sucesso","B32809092ED863D9","189962305","11","","-","-","-","-","2025-01-19 12:26:53.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","09:08:14","Abastecimento","5","18","Shell V-Power Gasolina","7.59","R$ 50,00","R$ 0,76","R$ 0,00","R$ 0,00","R$ 0,00","R$ 49,24","3","Sucesso","B32809D538851035","189960488","12","","-","-","-","-","2025-01-19 12:07:18.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","09:08:00","Abastecimento","3","6","Gasolina Comum","37.57","R$ 232,56","R$ 3,76","R$ 0,00","R$ 0,00","R$ 0,00","R$ 228,80","3","Sucesso","B32809D538851035","189960513","11","","99774039954","Mercado Pago","-","-","2025-01-19 12:07:36.000 UTC","Cartão Mercado Pago"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","09:03:04","Abastecimento","4","8","Etanol Comum","23.87","R$ 100,00","R$ 2,39","R$ 2,89","R$ 0,00","R$ 0,00","R$ 94,72","3","Sucesso","B32809EED033236E","189959980","21","","14945023x189959980x1737288125768","-","07518cad-d273-11ef-8a38-02b447a431dd","R$ 2.89 DE DESCONTO","2025-01-19 12:01:39.000 UTC","Pix"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","08:53:40","Abastecimento","4","9","Gasolina Comum","3.23","R$ 20,00","R$ 0,32","R$ 0,00","R$ 0,00","R$ 0,00","R$ 19,68","3","Sucesso","B32809D538851035","189959254","11","","-","-","-","-","2025-01-19 11:52:59.000 UTC","Dinheiro"
"886700","Auto Posto Viaduto Do Mirante Ltda","2025-01-19","08:36:23","Abastecimento","2","3","Etanol Comum","16.71","R$ 70,00","R$ 1,67","R$ 0,00","R$ 0,00","R$ 0,00","R$ 68,33","3","Sucesso","B32809EED033236E","189957854","21","","-","-","-","-","2025-01-19 11:36:07.000 UTC","Dinheiro"
