ID Transação;Data e Hora;Tipo;Status;Parcela;Bandeira;Valor Bruto;Valor Taxa;Valor Antec.;Valor Liquido;Data Pagamento
943779669;29/02/2024 - 19:00:34;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
943889879;29/02/2024 - 20:47:04;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
970906282;29/02/2024 - 06:53:17;Crédito;Pago;1/1;Visa;"82,95";"1,2";0;"81,75";01/04/2024
970982914;29/02/2024 - 08:25:43;Crédito;Pago;1/3;Visa;75;"1,54";0;"73,46";01/04/2024
971264538;29/02/2024 - 12:44:47;Crédito;Pago;1/1;Visa;"235,53";"3,42";0;"232,11";01/04/2024
971265900;29/02/2024 - 12:45:48;Crédito;Pago;1/1;Visa;100;"1,45";0;"98,55";01/04/2024
971270792;29/02/2024 - 12:49:30;Crédito;Pago;1/1;Visa;80;"1,16";0;"78,84";01/04/2024
971350836;29/02/2024 - 13:56:31;Crédito;Pago;1/1;Visa;"55,83";"0,81";0;"55,02";01/04/2024
971354658;29/02/2024 - 14:00:22;Crédito;Pago;1/1;Visa;100;"1,45";0;"98,55";01/04/2024
971532114;29/02/2024 - 16:37:03;Crédito;Pago;1/1;Visa;40;"0,58";0;"39,42";01/04/2024
943930649;29/02/2024 - 21:48:35;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
943999049;01/03/2024 - 06:16:08;Crédito;Pago;1/1;Visa;100;"1,45";0;"98,55";01/04/2024
944063045;01/03/2024 - 07:47:59;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
944064765;01/03/2024 - 07:49:53;Crédito;Pago;1/1;Visa;60;"0,87";0;"59,13";01/04/2024
944047831;01/03/2024 - 07:30:30;Crédito;Pago;1/1;Visa;"182,14";"2,64";0;"179,5";01/04/2024
944072427;01/03/2024 - 07:58:12;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
944096443;01/03/2024 - 08:25:05;Crédito;Pago;1/1;Visa;200;"2,9";0;"197,1";01/04/2024
944231445;01/03/2024 - 10:36:16;Crédito;Pago;1/1;Visa;"159,8";"2,32";0;"157,48";01/04/2024
944379781;01/03/2024 - 12:32:16;Crédito;Pago;1/1;Visa;"75,53";"1,1";0;"74,43";01/04/2024
944391043;01/03/2024 - 12:40:10;Crédito;Pago;1/1;Visa;140;"2,03";0;"137,97";01/04/2024
944421457;01/03/2024 - 13:01:34;Crédito;Pago;1/1;Visa;70;"1,02";0;"68,98";01/04/2024
944428281;01/03/2024 - 13:06:40;Crédito;Pago;1/1;Visa;"57,9";"0,84";0;"57,06";01/04/2024
944471025;01/03/2024 - 13:40:17;Crédito;Pago;1/1;Visa;"50,03";"0,73";0;"49,3";01/04/2024
944491191;01/03/2024 - 13:57:57;Crédito;Pago;1/1;Visa;"172,58";"2,5";0;"170,08";01/04/2024
944676157;01/03/2024 - 16:33:41;Crédito;Pago;1/1;Visa;130;"1,88";0;"128,12";01/04/2024
972664780;01/03/2024 - 16:02:39;Crédito;Pago;1/1;Visa;20;"0,29";0;"19,71";01/04/2024
972670454;01/03/2024 - 16:06:37;Crédito;Pago;1/1;Visa;"216,31";"3,14";0;"213,17";01/04/2024
972824602;01/03/2024 - 17:43:36;Crédito;Pago;1/1;Visa;"114,83";"1,67";0;"113,16";01/04/2024
972951058;01/03/2024 - 18:57:11;Crédito;Pago;1/1;Visa;30;"0,44";0;"29,56";01/04/2024
972992318;01/03/2024 - 19:25:08;Crédito;Pago;1/1;Visa;"59,9";"0,87";0;"59,03";01/04/2024
945247307;02/03/2024 - 06:40:55;Crédito;Pago;1/1;Visa;109;"1,58";0;"107,42";01/04/2024
945414741;02/03/2024 - 09:39:27;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
945347759;02/03/2024 - 08:49:38;Crédito;Pago;1/1;Visa;"152,4";"2,21";0;"150,19";01/04/2024
945350865;02/03/2024 - 08:52:14;Crédito;Pago;1/1;Visa;30;"0,44";0;"29,56";01/04/2024
945647165;02/03/2024 - 11:44:52;Crédito;Pago;1/3;Visa;"94,98";"1,95";0;"93,03";01/04/2024
973784136;02/03/2024 - 12:44:35;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
973789366;02/03/2024 - 12:47:32;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
974021704;02/03/2024 - 15:35:23;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
974029024;02/03/2024 - 15:41:00;Crédito;Pago;1/1;Visa;"94,94";"1,38";0;"93,56";01/04/2024
974030926;02/03/2024 - 15:42:30;Crédito;Pago;1/1;Visa;"50,03";"0,73";0;"49,3";01/04/2024
974068912;02/03/2024 - 16:12:20;Crédito;Pago;1/1;Visa;100;"1,45";0;"98,55";01/04/2024
973308448;02/03/2024 - 07:23:55;Crédito;Pago;1/1;Visa;"188,23";"2,73";0;"185,5";01/04/2024
974269674;02/03/2024 - 18:44:09;Crédito;Pago;1/1;Visa;"185,97";"2,7";0;"183,27";01/04/2024
974283834;02/03/2024 - 18:54:15;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
974363456;02/03/2024 - 19:55:08;Crédito;Pago;1/1;Visa;20;"0,29";0;"19,71";01/04/2024
973174797;28/03/2024 - 16:06:06;Crédito;Pago;1/1;Visa;15;"0,22";0;"14,78";01/04/2024
973357617;28/03/2024 - 17:58:18;Crédito;Pago;1/1;Visa;50;"0,72";0;"49,28";01/04/2024
1003548848;28/03/2024 - 10:22:17;Crédito;Pago;1/1;Visa;100;"1,45";0;"98,55";01/04/2024
1007318704;31/03/2024 - 13:00:47;Crédito;Pago;1/1;Visa;"136,53";"1,98";0;"134,55";01/04/2024
1006258226;30/03/2024 - 14:29:31;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
1005626898;30/03/2024 - 07:50:29;Crédito;Pago;1/1;Mastercard;"84,54";"1,23";0;"83,31";01/04/2024
1005995264;30/03/2024 - 11:48:40;Crédito;Pago;1/1;Mastercard;"285,22";"4,14";0;"281,08";01/04/2024
1004269210;28/03/2024 - 18:17:39;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
1003467678;28/03/2024 - 09:14:05;Crédito;Pago;1/1;Mastercard;"31,38";"0,46";0;"30,92";01/04/2024
1003694642;28/03/2024 - 12:07:59;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
973595395;28/03/2024 - 20:56:41;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
973151684;01/03/2024 - 21:44:58;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
974393520;02/03/2024 - 20:20:09;Crédito;Pago;1/1;Mastercard;"141,86";"2,06";0;"139,8";01/04/2024
974414958;02/03/2024 - 20:39:23;Crédito;Pago;1/1;Mastercard;125;"1,81";0;"123,19";01/04/2024
974444920;02/03/2024 - 21:07:33;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
974488034;02/03/2024 - 21:53:45;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
974289778;02/03/2024 - 18:58:19;Crédito;Pago;1/1;Mastercard;70;"1,02";0;"68,98";01/04/2024
974298996;02/03/2024 - 19:05:11;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
974327944;02/03/2024 - 19:27:19;Crédito;Pago;1/1;Mastercard;140;"2,03";0;"137,97";01/04/2024
973515330;02/03/2024 - 10:15:19;Crédito;Pago;1/1;Mastercard;40;"0,58";0;"39,42";01/04/2024
973552390;02/03/2024 - 10:37:39;Crédito;Pago;1/1;Mastercard;20;"0,29";0;"19,71";01/04/2024
973624296;02/03/2024 - 11:18:31;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
973631570;02/03/2024 - 11:22:35;Crédito;Pago;1/1;Mastercard;150;"2,18";0;"147,82";01/04/2024
974081030;02/03/2024 - 16:21:23;Crédito;Pago;1/1;Mastercard;40;"0,58";0;"39,42";01/04/2024
974115128;02/03/2024 - 16:47:57;Crédito;Pago;1/1;Mastercard;"96,06";"1,39";0;"94,67";01/04/2024
974158244;02/03/2024 - 17:20:31;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
974223122;02/03/2024 - 18:09:44;Crédito;Pago;1/1;Mastercard;150;"2,18";0;"147,82";01/04/2024
973830598;02/03/2024 - 13:12:40;Crédito;Pago;1/1;Mastercard;"140,55";"2,04";0;"138,51";01/04/2024
973859144;02/03/2024 - 13:31:17;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
973939356;02/03/2024 - 14:30:01;Crédito;Pago;1/1;Mastercard;20;"0,29";0;"19,71";01/04/2024
973943116;02/03/2024 - 14:33:00;Crédito;Pago;1/1;Mastercard;20;"0,29";0;"19,71";01/04/2024
973947134;02/03/2024 - 14:35:56;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
973990290;02/03/2024 - 15:10:21;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
973991468;02/03/2024 - 15:11:17;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
973992560;02/03/2024 - 15:12:11;Crédito;Pago;1/1;Mastercard;40;"0,58";0;"39,42";01/04/2024
945705827;02/03/2024 - 12:12:35;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
945830665;02/03/2024 - 13:21:52;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
945843201;02/03/2024 - 13:29:48;Crédito;Pago;1/1;Mastercard;"28,95";"0,42";0;"28,53";01/04/2024
945882025;02/03/2024 - 13:56:46;Crédito;Pago;1/1;Mastercard;"262,6";"3,81";0;"258,79";01/04/2024
945915501;02/03/2024 - 14:21:10;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
945450595;02/03/2024 - 10:02:40;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
945451369;02/03/2024 - 10:03:11;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
945523577;02/03/2024 - 10:43:22;Crédito;Pago;1/1;Mastercard;20;"0,29";0;"19,71";01/04/2024
945533425;02/03/2024 - 10:48:39;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
945556047;02/03/2024 - 11:00:05;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
945576653;02/03/2024 - 11:10:31;Crédito;Pago;1/1;Mastercard;"85,9";"1,25";0;"84,65";01/04/2024
945600749;02/03/2024 - 11:22:25;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
945277445;02/03/2024 - 07:36:03;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
945277875;02/03/2024 - 07:36:37;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
945330719;02/03/2024 - 08:34:42;Crédito;Pago;1/1;Mastercard;"275,84";4;0;"271,84";01/04/2024
970976418;29/02/2024 - 08:18:00;Crédito;Pago;1/1;Mastercard;"269,29";"3,9";0;"265,39";01/04/2024
972806986;01/03/2024 - 17:33:13;Crédito;Pago;1/1;Mastercard;"40,24";"0,58";0;"39,66";01/04/2024
972841852;01/03/2024 - 17:53:05;Crédito;Pago;1/1;Mastercard;"246,71";"3,58";0;"243,13";01/04/2024
972901396;01/03/2024 - 18:26:47;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
972919352;01/03/2024 - 18:37:29;Crédito;Pago;1/1;Mastercard;20;"0,29";0;"19,71";01/04/2024
972930922;01/03/2024 - 18:44:25;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
972946058;01/03/2024 - 18:53:55;Crédito;Pago;1/1;Mastercard;"14,5";"0,21";0;"14,29";01/04/2024
972756256;01/03/2024 - 17:03:07;Crédito;Pago;1/1;Mastercard;64;"0,93";0;"63,07";01/04/2024
944715305;01/03/2024 - 16:57:18;Crédito;Pago;1/1;Mastercard;"64,85";"0,94";0;"63,91";01/04/2024
944935905;01/03/2024 - 19:03:45;Crédito;Pago;1/1;Mastercard;12;"0,17";0;"11,83";01/04/2024
972420354;01/03/2024 - 12:49:42;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
972515522;01/03/2024 - 14:02:03;Crédito;Pago;1/1;Mastercard;15;"0,22";0;"14,78";01/04/2024
972548720;01/03/2024 - 14:29:39;Crédito;Pago;1/1;Mastercard;"140,33";"2,03";0;"138,3";01/04/2024
972589560;01/03/2024 - 15:03:20;Crédito;Pago;1/1;Mastercard;"15,81";"0,23";0;"15,58";01/04/2024
972614964;01/03/2024 - 15:23:53;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
972622092;01/03/2024 - 15:29:41;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
972648200;01/03/2024 - 15:49:51;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
944444141;01/03/2024 - 13:18:24;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
944455849;01/03/2024 - 13:27:30;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
944389897;01/03/2024 - 12:39:18;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
944307725;01/03/2024 - 11:40:24;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
944357411;01/03/2024 - 12:16:18;Crédito;Pago;1/1;Mastercard;"48,35";"0,7";0;"47,65";01/04/2024
944358171;01/03/2024 - 12:16:50;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
944244391;01/03/2024 - 10:48:17;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
944220519;01/03/2024 - 10:26:17;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
944077449;01/03/2024 - 08:04:01;Crédito;Pago;1/1;Mastercard;"278,79";"4,04";0;"274,75";01/04/2024
944052489;01/03/2024 - 07:35:49;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
944066791;01/03/2024 - 07:51:59;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
944068947;01/03/2024 - 07:54:30;Crédito;Pago;1/1;Mastercard;40;"0,58";0;"39,42";01/04/2024
944001755;01/03/2024 - 06:22:44;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
944005905;01/03/2024 - 06:31:28;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
944013391;01/03/2024 - 06:44:53;Crédito;Pago;1/1;Mastercard;150;"2,18";0;"147,82";01/04/2024
943994887;01/03/2024 - 06:03:55;Crédito;Pago;1/1;Mastercard;"203,52";"2,95";0;"200,57";01/04/2024
971571030;29/02/2024 - 17:04:42;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
971588738;29/02/2024 - 17:15:35;Crédito;Pago;1/1;Mastercard;"56,51";"0,82";0;"55,69";01/04/2024
971548822;29/02/2024 - 16:49:11;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
971463664;29/02/2024 - 15:42:24;Crédito;Pago;1/1;Mastercard;"100,05";"1,45";0;"98,6";01/04/2024
971489030;29/02/2024 - 16:04:03;Crédito;Pago;1/1;Mastercard;150;"2,18";0;"147,82";01/04/2024
971503788;29/02/2024 - 16:15:31;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
971367312;29/02/2024 - 14:12:38;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
971393258;29/02/2024 - 14:37:11;Crédito;Pago;1/1;Mastercard;150;"2,18";0;"147,82";01/04/2024
971411416;29/02/2024 - 14:54:39;Crédito;Pago;1/1;Mastercard;40;"0,58";0;"39,42";01/04/2024
971411996;29/02/2024 - 14:55:12;Crédito;Pago;1/1;Mastercard;200;"2,9";0;"197,1";01/04/2024
971039714;29/02/2024 - 09:26:39;Crédito;Pago;1/1;Mastercard;"72,95";"1,06";0;"71,89";01/04/2024
971093746;29/02/2024 - 10:20:10;Crédito;Pago;1/1;Mastercard;"146,42";"2,12";0;"144,3";01/04/2024
970926244;29/02/2024 - 07:20:22;Crédito;Pago;1/1;Mastercard;"144,17";"2,09";0;"142,08";01/04/2024
970946156;29/02/2024 - 07:43:23;Crédito;Pago;1/1;Mastercard;"217,57";"3,15";0;"214,42";01/04/2024
970884454;29/02/2024 - 06:11:10;Crédito;Pago;1/1;Mastercard;"113,58";"1,65";0;"111,93";01/04/2024
970904906;29/02/2024 - 06:51:13;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
943819229;29/02/2024 - 19:33:16;Crédito;Pago;1/1;Mastercard;200;"2,9";0;"197,1";01/04/2024
943886425;29/02/2024 - 20:42:50;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
943717467;29/02/2024 - 18:17:52;Crédito;Pago;1/1;Mastercard;"207,57";"3,01";0;"204,56";01/04/2024
943759377;29/02/2024 - 18:46:18;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
943674315;29/02/2024 - 17:50:47;Crédito;Pago;1/1;Mastercard;"36,9";"0,54";0;"36,36";01/04/2024
943371407;29/02/2024 - 13:37:57;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
969957240;28/02/2024 - 08:51:14;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
943483029;29/02/2024 - 15:27:24;Crédito;Pago;1/1;Mastercard;60;"0,87";0;"59,13";01/04/2024
943097549;29/02/2024 - 09:41:12;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
943059825;29/02/2024 - 09:03:25;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
970804818;28/02/2024 - 21:17:34;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
943024919;29/02/2024 - 08:25:14;Crédito;Pago;1/1;Mastercard;125;"1,81";0;"123,19";01/04/2024
970765070;28/02/2024 - 20:24:29;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
970782000;28/02/2024 - 20:45:46;Crédito;Pago;1/1;Mastercard;"140,74";"2,04";0;"138,7";01/04/2024
970696650;28/02/2024 - 19:17:21;Crédito;Pago;1/1;Mastercard;20;"0,29";0;"19,71";01/04/2024
970708716;28/02/2024 - 19:27:20;Crédito;Pago;1/1;Mastercard;20;"0,29";0;"19,71";01/04/2024
970666088;28/02/2024 - 18:54:32;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
970669674;28/02/2024 - 18:57:07;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
970528798;28/02/2024 - 17:25:52;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
970559262;28/02/2024 - 17:44:49;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
970475114;28/02/2024 - 16:49:16;Crédito;Pago;1/1;Mastercard;"128,41";"1,86";0;"126,55";01/04/2024
970461826;28/02/2024 - 16:38:55;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
942150485;28/02/2024 - 10:56:08;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
969988460;28/02/2024 - 09:25:38;Crédito;Pago;1/1;Mastercard;40;"0,58";0;"39,42";01/04/2024
969994532;28/02/2024 - 09:32:12;Crédito;Pago;1/1;Mastercard;"218,03";"3,16";0;"214,87";01/04/2024
970020350;28/02/2024 - 09:58:12;Crédito;Pago;1/1;Mastercard;30;"0,44";0;"29,56";01/04/2024
970028164;28/02/2024 - 10:05:58;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
970257956;28/02/2024 - 13:27:33;Crédito;Pago;1/1;Mastercard;70;"1,02";0;"68,98";01/04/2024
970399486;28/02/2024 - 15:46:24;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
970404148;28/02/2024 - 15:50:37;Crédito;Pago;1/1;Mastercard;"91,66";"1,33";0;"90,33";01/04/2024
942740139;28/02/2024 - 19:07:58;Crédito;Pago;1/1;Mastercard;"145,98";"2,12";0;"143,86";01/04/2024
942074333;28/02/2024 - 09:38:59;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
942195327;28/02/2024 - 11:37:49;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
942222945;28/02/2024 - 12:01:18;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
942234275;28/02/2024 - 12:10:04;Crédito;Pago;1/1;Mastercard;150;"2,18";0;"147,82";01/04/2024
942307671;28/02/2024 - 13:09:06;Crédito;Pago;1/1;Mastercard;100;"1,45";0;"98,55";01/04/2024
942362231;28/02/2024 - 14:00:41;Crédito;Pago;1/1;Mastercard;20;"0,29";0;"19,71";01/04/2024
941954449;28/02/2024 - 07:26:22;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
941956355;28/02/2024 - 07:28:41;Crédito;Pago;1/1;Mastercard;25;"0,36";0;"24,64";01/04/2024
941998597;28/02/2024 - 08:18:31;Crédito;Pago;1/1;Mastercard;50;"0,72";0;"49,28";01/04/2024
941999483;28/02/2024 - 08:19:27;Crédito;Pago;1/1;Mastercard;60;"0,87";0;"59,13";01/04/2024
913428411;01/02/2024 - 11:09:24;Crédito;Pago;2/2;Mastercard;"70,75";"1,45";0;"69,3";01/04/2024
878113113;30/12/2023 - 15:19:27;Crédito;Pago;3/3;Mastercard;"108,3";"2,22";0;"106,08";01/04/2024
1006746290;30/03/2024 - 21:07:36;Débito;Pago;1/1;Visa;20;"0,14";0;"19,86";01/04/2024
1006243712;30/03/2024 - 14:18:09;Débito;Pago;1/1;Visa;50;"0,35";0;"49,65";01/04/2024
1006321778;30/03/2024 - 15:18:35;Débito;Pago;1/1;Visa;100;"0,7";0;"99,3";01/04/2024
1006047516;30/03/2024 - 12:14:44;Débito;Pago;1/1;Visa;4;"0,03";0;"3,97";01/04/2024
1005975892;30/03/2024 - 11:39:01;Débito;Pago;1/1;Visa;"320,02";"2,24";0;"317,78";01/04/2024
1006155366;30/03/2024 - 13:15:58;Débito;Pago;1/1;Visa;25;"0,18";0;"24,82";01/04/2024
1006034884;30/03/2024 - 12:08:22;Débito;Pago;1/1;Visa;"339,6";"2,38";0;"337,22";01/04/2024
1005740860;30/03/2024 - 09:32:11;Débito;Pago;1/1;Visa;50;"0,35";0;"49,65";01/04/2024
1005896492;30/03/2024 - 11:00:10;Débito;Pago;1/1;Visa;50;"0,35";0;"49,65";01/04/2024
1005912420;30/03/2024 - 11:08:02;Débito;Pago;1/1;Visa;100;"0,7";0;"99,3";01/04/2024
1005854872;30/03/2024 - 10:38:09;Débito;Pago;1/1;Visa;20;"0,14";0;"19,86";01/04/2024
975589717;30/03/2024 - 19:18:18;Débito;Pago;1/1;Visa;50;"0,35";0;"49,65";01/04/2024
975576085;30/03/2024 - 19:06:23;Débito;Pago;1/1;Visa;100;"0,7";0;"99,3";01/04/2024
975419979;30/03/2024 - 16:54:27;Débito;Pago;1/1;Visa;"60,92";"0,43";0;"60,49";01/04/2024
975353279;30/03/2024 - 16:00:22;Débito;Pago;1/1;Visa;50;"0,35";0;"49,65";01/04/2024
975301145;30/03/2024 - 15:17:44;Débito;Pago;1/1;Visa;100;"0,7";0;"99,3";01/04/2024
975161017;30/03/2024 - 13:26:51;Débito;Pago;1/1;Visa;35;"0,24";0;"34,76";01/04/2024
975259361;30/03/2024 - 14:42:41;Débito;Pago;1/1;Visa;100;"0,7";0;"99,3";01/04/2024
975122675;30/03/2024 - 13:01:28;Débito;Pago;1/1;Visa;30;"0,21";0;"29,79";01/04/2024
974928145;30/03/2024 - 11:17:02;Débito;Pago;1/1;Visa;100;"0,7";0;"99,3";01/04/2024
974943325;30/03/2024 - 11:24:44;Débito;Pago;1/1;Visa;50;"0,35";0;"49,65";01/04/2024
974703077;30/03/2024 - 09:03:43;Débito;Pago;1/1;Visa;100;"0,7";0;"99,3";01/04/2024
